1947,2.7818979266347688,
1948,2.785921625544267,
1949,2.8276892430278884,
1950,2.8462243962091103,
1951,2.883178882336422,
1952,2.9083183105845993,
1953,2.9215733015494636,
1954,2.9346289752650176,
1955,2.939909762100082,
1956,2.9447829398324448,
1957,2.94181302111052,
1958,2.9425608953258724,
1959,2.9536938309215537,
1960,2.957533860045147,
1961,2.951165516343274,
1962,2.9455823536541024,
1963,2.935593220338983,
1964,2.930980310012568,
1965,2.91024531024531,
1966,2.899496154866083,
1967,2.8916666666666666,
1968,2.8973138910207212,
1969,2.897899189789919,
1970,2.8984631903899065,
1971,2.9085919757759275,
1972,2.9081947743467933,
1973,2.9211853013667937,
1974,2.9276444726945283,
1975,2.943981109324759,
1976,2.950388409664967,
1977,2.9703582469539915,
1978,2.9852417744595887,
1979,3.0065655516309993,
1980,3.0281746348471548,
1981,3.0522085279032383,
1982,3.074114962832119,
1983,3.100665911022953,
1984,3.127416430013344,
1985,3.1541275333662875,
1986,3.1824001528759793,
1987,3.211256793686861,
1988,3.2438018979833925,
1989,3.2770363157291786,
1990,3.3137200685726924,
1991,3.3475797182797424,
1992,3.391123833101243,
1993,3.4266048181954214,
1994,3.473762793497893,
1995,3.511855405971957,
1996,3.5617054786815165,
1997,3.599176972652848,
1998,3.6477136423896805,
1999,3.6870025445292622,
2000,3.7328320900663297,
2001,3.7743427690316196,
2002,3.816060650669807,
2003,3.8589340020274236,
2004,3.8976893143703295,
2005,3.9428871233698097,
2006,3.9758121696532163,
2007,4.02402280764617,
2008,4.057293003729934,
2009,4.10783154514269,
2010,4.1420676202860855,
2011,4.195548880393228,
2012,4.232189799342149,
2013,4.287841286042358,
2014,4.32902580812382,
2015,4.384753737121077,
2016,4.43058241252302,
2017,4.485613108057104,
2018,4.53722372805091,
2019,4.591435950413223,
2020,4.6461901302630135,
2021,4.69690494442315,
2022,4.757552013716688,
2023,4.8050479063165366,
2024,4.867054435209156,
2025,4.914060576212756,
2026,4.980509449724941,
2027,5.028612727756856,
2028,5.092718998862344,
2029,5.137976901800984,
2030,5.201507290183722,
2031,5.2470677014552525,
2032,5.307021483643985,
2033,5.352410398030858,
2034,5.40943159445986,
2035,5.45671367835601,
2036,5.508247275193532,
2037,5.560618975139523,
2038,5.60656263516239,
2039,5.661027153952676,
2040,5.700901148487817,
2041,5.7569073083778965,
2042,5.790941606719447,
2043,5.848463201571566,
2044,5.877945584254414,
2045,5.932007218411744,
2046,5.959905082219586,
2047,6.010580639588866,
2048,6.038007238913575,
2049,6.08382577148644,
2050,6.111319364177174,
2051,6.153148195610768,
2052,6.183024925238627,
2053,6.220542084682565,
2054,6.253572375497675,
2055,6.286816588425822,
2056,6.322671463053078,
2057,6.352649177714134,
2058,6.390104008007311,
2059,6.4179478313809115,
2060,6.455226446414708,
2061,6.4812203592036335,
2062,6.51762530648338,
2063,6.5417066570733455,
2064,6.576328441731814,
2065,6.598796288751004,
2066,6.630074513011656,
2067,6.652644053648809,
2068,6.68076720890585,
2069,6.703948688208282,
2070,6.728594085557539,
2071,6.754397100065973,
2072,6.775569648734093,
2073,6.804119210000401,
2074,6.82161372793485,
2075,6.852862538133434,
2076,6.867148988911969,
2077,6.899860205739827,
2078,6.9116638518382505,
2079,6.944413145260012,
2080,6.954497261208444,
2081,6.985665208916039,
